CCT,Plantel,Subnivel,Subsistema,Municipio,Localidad,Colonia/Asentamiento,Calle,NumExt,Sostenimiento,Dependencia,Dominio (institucional público),Fuente (si aplica)
22MMS0167Z,"COLEGIO SOUTH HILL DE QUERETARO, S.C.",BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,EL RETABLO,AVENIDA CAMINO A VANEGAS,35.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0168Y,COLEGIO WEXFORD,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,NEGRETA,CALLE CARRETERA A HUIMILPAN KM 1.2,,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0264A,HIGH SCHOOL JOHN DEWEY,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,LOS OLVERA,,CAMINO A LOS OLVERA,700.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0130L,INSTITUTO ORIENTE QUERETARO,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,CENTRO,CALLE PASEO DEL GRAN CUE,31.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0274H,INSTITUTO UNIVERSITARIO DE DESARROLLO HUMANO E INNOVACIÓN PROFESIONAL,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,PUEBLO NUEVO,CALLE RUFINO TAMAYO,9.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0139C,LA PROVIDENCIA,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,,CALLE CAPILLA,9.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0301O,PREPA CAV,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,LAS TROJES,CALLE TROJE DE CAMPO ALEGRE,22.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0183Q,PREPA PLENUS,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,SAN FRANCISCO,SAN FRANCISCO,CALLE SAN FRANCISCO DE ASIS,13.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0279C,PREPARATORIA EMPRENDE INNOVA,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,EL PUEBLITO,Colinas Del Santuario,AVENIDA VALLENDAR,102.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0208I,UNIVERSIDAD TEC MILENIO,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,LOS OLVERA,LOS OLVERA,DOMICILIO CONOCIDO,18.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0157S,VANGUARDIA EDUCATIVA DE MEXICO,BACHILLERATO GENERAL,PRIVADO,CORREGIDORA,LOS OLVERA,LOS OLVERA,DOMICILIO CONOCIDO,,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0313T,INNOVA SCHOOLS QUERETARO CAMPUS EL MARQUES BACHILLERATO,BACHILLERATO GENERAL,PRIVADO,EL MARQUÉS,SALDARRIAGA,,PROLONGACIÓN Constituyentes Oriente,742.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0273I,INSTITUTO PAULO FREIRE PREPARATORIA,BACHILLERATO GENERAL,PRIVADO,EL MARQUÉS,LA CAÑADA,El Mirador,PROLONGACIÓN CONSTITUYENTES,81.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0280S,LICEO PATRICK HENRY PREPARATORIA,BACHILLERATO GENERAL,PRIVADO,EL MARQUÉS,GENERAL LÁZARO CÁRDENAS (EL COLORADO),CENTRO DEL COLORADO,CALLE J. GERARDO CORONEL HERRERA,,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0285N,LYCEE FRANCAIS INTERNATIONAL JULES VERNE SECCION PREPARATORIA,BACHILLERATO GENERAL,PRIVADO,EL MARQUÉS,LA PRADERA,,CIRCUITO UNIVERSIDADES,5150.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0289J,UNIVERSIDAD MONDRAGÓN MÉXICO,BACHILLERATO GENERAL,PRIVADO,EL MARQUÉS,SALDARRIAGA,,AVENIDA ANILLO VIAL 3 PONIENTE,172.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0184P,INSTITUTO SOCIAL COMERCIAL EN CONTADURIA ADMINISTRATIVA A.C.,BACHILLERATO GENERAL Y TECNOLÓGICO,PRIVADO,EZEQUIEL MONTES,EZEQUIEL MONTES,LA LAGUNA,CALLE AQUILES SERDAN,142.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0126Z,ALMA MURIEL,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,NIÑOS HEROES,CALLE PINO SUAREZ,339.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0206K,BACHILLERATO COLEGIO MEXICO NUEVO CAMPUS QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO SUR,CALLE CERRO BLANCO,990.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0303M,BACHILLERATO DE LA UNIVERSIDAD DE LAS MUJERES,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,ZONA INDUSTRIAL BENITO JUAREZ,CALLE ACCESO III,61.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0199R,BACHILLERATO DE LA UNIVERSIDAD DEL VALLE DE MEXICO QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,JURIQUILLA,,BOULEVARD JURIQUILLA,1000.0,PRIVADO,ASOCIACIÓN CIVIL,,
